PARTITION_DATE,ACCESS_ID,COLLECTION_DATE,ONT_VENDOR,ONT_MODEL,ONT_VERSION,ONT_SERIAL_NUMBER,ONT_VERSION_HW,ONT_UP_TIME,TX_POWER_DS,RX_POWER_DS,TX_POWER_US,RX_POWER_US,ONT_STATE,OLT_STATE,ONT_TEMPERATURE,ONT_CURRENT,ONT_VOLTAGE,ATENUACION_DS,ATENUACION_US,LONG_BUCLE
2023-12-27,1094308465,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F41F879,GPT-2741GNAC,0 dias 0 horas 0 minutos,5.5,,2.6,-16.3,IS,IS,,,3.2,,21.8,1400.0
2023-12-27,1104308474,2023-12-27 08:01:25,MSTC,GPT-2841GX4X5,100XNQ0b1,MSTC8CACFFB4,GPT-2841GX4X5,0 dias 0 horas 0 minutos,5.3,-1.89,,-15.9,IS,IS,,,3.3,,21.2,1400.0
2023-12-27,1104162664,2023-12-27 08:01:25,MSTC,GPT-2841GX4X5,100XNQ0b1,MSTC8CAC52AF,GPT-2841GX4X5,0 dias 0 horas 0 minutos,3.9,-2.3,,-21.5,IS,IS,,,3.2,,25.4,6300.0
2023-12-27,1101654293,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY00449D05,3505VW,0 dias 0 horas 0 minutos,5.7,-2.45,1.8,-23.6,IS,IS,45.0,19.0,3.2,4.25,29.3,2800.0
2023-12-27,1093846519,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY005C675A,RTF8115VW,0 dias 0 horas 0 minutos,5.3,-1.92,2.4,-16.1,IS,IS,40.0,13.0,3.3,4.32,21.4,900.0
2023-12-27,1101067538,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F3D1A87,GPT-2741GNAC,0 dias 0 horas 0 minutos,5.3,-2.11,2.7,-17.7,IS,IS,46.0,14.0,3.3,4.81,23.0,3100.0
2023-12-27,1093480211,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY0037A39F,3505VW,0 dias 0 horas 0 minutos,5.7,-1.98,2.1,-19.3,IS,IS,58.0,21.0,3.2,4.08,25.0,2400.0
2023-12-27,1102442969,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY0073107A,RTF8225VW,0 dias 0 horas 0 minutos,5.7,-1.8,2.5,-14.8,IS,IS,35.0,12.0,3.2,4.3,20.5,1600.0
2023-12-27,1101682507,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC09438B63,GPT-2741GNAC,0 dias 0 horas 0 minutos,5.3,-2.11,2.4,-18.0,IS,IS,57.0,14.0,3.2,4.51,23.3,3400.0
2023-12-27,1104661675,2023-12-27 08:01:25,MSTC,GPT-2841GX4X5,100XNQ0b1,MSTC8CACFDC6,GPT-2841GX4X5,0 dias 0 horas 0 minutos,5.3,-2.05,2.6,-16.2,IS,IS,61.0,18.0,3.3,4.65,21.5,1700.0
2023-12-27,1101599422,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY001B4581,3505VW,0 dias 0 horas 0 minutos,3.5,-2.14,1.8,-21.6,IS,IS,40.0,16.0,3.2,3.94,25.1,5800.0
2023-12-27,1101120370,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC034A318C,GPT-2541GNAC,0 dias 0 horas 0 minutos,5.0,-1.87,3.0,-17.2,IS,IS,46.0,16.0,3.3,4.87,22.2,2000.0
2023-12-27,1093523606,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F3773EA,GPT-2741GNAC,0 dias 0 horas 0 minutos,5.7,,2.5,-18.7,IS,IS,,19.0,3.3,,24.4,6900.0
