networkelementname;sourcename;cleared;clearedtime;perceivedseverity;subnetworkname;count;receivedtime;lastreceivedtime;duration;specificproblem;sequencenumber;accessid
FONT_OLT_3;0/1/13/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:44;2024-10-10T16:06:44.000Z;0 days 00:01:45;The dying-gasp of GPON ONTi (DGi) is generated;433840914;02-1-32TMND41
GMIS_OLT_4;0/12/2/73;true;2024-10-10 16:08:15;Warning;GABRIELA MISTRAL;1;2024-10-10 16:08:14;2024-10-10T16:08:14.000Z;0 days 00:00:01;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433843585;02-1-33RCSXF3
FONT_OLT_2;1/5/2/71;true;2024-10-10 16:08:44;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:37;2024-10-10T16:02:37.000Z;0 days 00:06:07;Dying Gasp;433836798;02-1-33WITZJK
FONT_OLT_3;0/2/12/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:01:18;The dying-gasp of GPON ONTi (DGi) is generated;433841409;02-1-341O6IDR
FONT_OLT_3;0/4/4/69;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:48;2024-10-10T16:07:48.000Z;0 days 00:00:41;The dying-gasp of GPON ONTi (DGi) is generated;433841895;02-1-33V8Z3PI
INDE_OLT_8;0/3/8/67;true;2024-10-10 16:09:53;Warning;INDEPENDENCIA;1;2024-10-10 16:09:50;2024-10-10T16:09:50.000Z;0 days 00:00:03;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433846552;02-1-3394FRQD
INDE_OLT_8;0/3/8/67;true;2024-10-10 16:05:14;Warning;INDEPENDENCIA;1;2024-10-02 17:14:57;2024-10-02T17:14:57.000Z;7 days 22:50:17;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);427959863;02-1-3394FRQD
PAJA_OLT_5;0/17/8/76;false;;Warning;PAJARITOS;1;2024-10-10 16:09:13;2024-10-10T16:09:13.000Z;0 days 00:01:08;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433845971;02-1-345CT1EC
FONT_OLT_2;1/1/14/66;true;2024-10-10 16:08:45;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:40;2024-10-10T16:03:40.000Z;0 days 00:05:05;Dying Gasp;433838765;02-1-33SA9URL
CHI1_OLT_3;1/8/4/71;true;2024-10-10 16:09:55;Warning;CHIGUAYANTE;1;2024-10-10 16:07:55;2024-10-10T16:07:55.000Z;0 days 00:02:00;Dying Gasp;433842685;02-1-32LWSH97
