timestamp;msg;duration
October 27th 2022 21:59:35.552+0200;202 POST /open-api/api/tmf/activation/service HTTP/1.1;512
October 27th 2022 21:59:33.697+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;153
October 27th 2022 21:59:30.574+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;156
October 27th 2022 21:59:26.321+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;161
October 27th 2022 21:59:22.087+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;165
October 27th 2022 21:59:18.636+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;140
October 27th 2022 21:59:14.284+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;193
October 27th 2022 21:59:09.648+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;181
October 27th 2022 21:59:06.236+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;138
October 27th 2022 21:59:02.181+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;171
October 27th 2022 21:58:57.903+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;177
October 27th 2022 21:58:54.645+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;139
October 27th 2022 21:58:50.139+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;161
October 27th 2022 21:58:46.394+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;652
October 27th 2022 21:58:42.089+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;694
October 27th 2022 21:58:37.120+0200;200 GET /open-api/api/tmf/activation/service/bdb6bf50-5631-11ed-b7e9-53e860a7946e HTTP/1.1;216
October 27th 2022 21:58:35.934+0200;202 POST /open-api/api/tmf/activation/service HTTP/1.1;991
October 27th 2022 21:58:35.932+0200;202 POST /open-api/api/tmf/activation/service HTTP/1.1;550
October 27th 2022 21:58:32.103+0200;200 GET /blueplanet-inventory-tmf-api/resourceInventoryManagement/PhysicalPort/897e385e-16b7-40f4-8437-0beae57e4492 HTTP/1.1;82
October 27th 2022 21:58:21.551+0200;200 GET /blueplanet-inventory-tmf-api/resourceInventoryManagement/PhysicalPort/897e385e-16b7-40f4-8437-0beae57e4492 HTTP/1.1;30
October 27th 2022 21:58:20.603+0200;200 GET /blueplanet-inventory-tmf-api/resourceInventoryManagement/resource/8f36f5ae-f3ba-4606-9eee-daa0a1a78932 HTTP/1.1;87
October 27th 2022 21:58:19.643+0200;200 GET /blueplanet-inventory-tmf-api/resourceInventoryManagement/resource/10c42753-21f5-4d60-954a-9c214ed71e37 HTTP/1.1;32
October 27th 2022 21:58:18.454+0200;200 GET /blueplanet-inventory-tmf-api/resourceInventoryManagement/device/cdf89902-03f4-40e7-85c8-7fb0ffd07786 HTTP/1.1;135
